Node_i ,Node_j ,"A[i,j]" ,"A[j,i]" ,Diff                   ,Direction
    11 ,    43 ,  0.0278 ,  0.2328 ,0.20500000000000002    ,43->11
    39 ,    44 ,  0.0504 ,  0.2534 ,0.203                  ,44->39
    11 ,    48 ,  0.0629 ,  0.2651 ,0.2022                 ,48->11
     6 ,    35 ,  0.3697 ,  0.1677 ,0.20199999999999999    ,6->35
    10 ,    43 ,  0.0306 ,  0.2306 ,0.2                    ,43->10
    33 ,    37 ,  0.3593 ,  0.1593 ,0.2                    ,33->37
    22 ,    35 ,  0.2195 ,  0.0196 ,0.1999                 ,22->35
    14 ,    15 ,  0.0421 ,  0.2404 ,0.1983                 ,15->14
     2 ,    39 ,  0.255  ,  0.0581 ,0.19690000000000002    ,2->39
     0 ,    10 ,  0.264  ,  0.0674 ,0.1966                 ,0->10
     8 ,    35 ,  0.3481 ,  0.1525 ,0.19560000000000002    ,8->35
    28 ,    35 ,  0.2767 ,  0.0816 ,0.1951                 ,28->35
     5 ,    35 ,  0.3863 ,  0.1912 ,0.19509999999999997    ,5->35
    26 ,    39 ,  0.3308 ,  0.1359 ,0.1949                 ,26->39
    10 ,    45 ,  0.0864 ,  0.2809 ,0.19449999999999998    ,45->10
    14 ,    32 ,  0.0597 ,  0.2535 ,0.1938                 ,32->14
     7 ,     8 ,  0.5202 ,  0.3295 ,0.19069999999999998    ,7->8
     2 ,    36 ,  0.2486 ,  0.0585 ,0.1901                 ,2->36
    10 ,    33 ,  0.0412 ,  0.2308 ,0.1896                 ,33->10
    34 ,    36 ,  0.2416 ,  0.0522 ,0.1894                 ,34->36
     1 ,    22 ,  0.0366 ,  0.2252 ,0.18860000000000002    ,22->1
     3 ,    10 ,  0.2783 ,  0.09   ,0.1883                 ,3->10
     9 ,    17 ,  0.036  ,  0.2237 ,0.1877                 ,17->9
    10 ,    46 ,  0.106  ,  0.2922 ,0.18620000000000003    ,46->10
    38 ,    48 ,  0.0793 ,  0.2648 ,0.1855                 ,48->38
    10 ,    16 ,  0.0417 ,  0.2266 ,0.1849                 ,16->10
     2 ,     4 ,  0.3553 ,  0.1718 ,0.1835                 ,2->4
    11 ,    15 ,  0.0293 ,  0.2127 ,0.1834                 ,15->11
     7 ,    36 ,  0.2613 ,  0.078  ,0.18329999999999996    ,7->36
     2 ,    12 ,  0.343  ,  0.16   ,0.18300000000000002    ,2->12
    10 ,    28 ,  0.098  ,  0.2808 ,0.1828                 ,28->10
    12 ,    14 ,  0.7803 ,  0.5983 ,0.18199999999999994    ,12->14
     5 ,    12 ,  0.3816 ,  0.562  ,0.18040000000000006    ,12->5
    27 ,    38 ,  0.304  ,  0.1243 ,0.1797                 ,27->38
    13 ,    42 ,  0.0293 ,  0.208  ,0.1787                 ,42->13
    34 ,    35 ,  0.2319 ,  0.0532 ,0.1787                 ,34->35
    34 ,    39 ,  0.2372 ,  0.0588 ,0.1784                 ,34->39
    13 ,    27 ,  0.0904 ,  0.268  ,0.17760000000000004    ,27->13
    10 ,    25 ,  0.0906 ,  0.268  ,0.1774                 ,25->10
    29 ,    35 ,  0.2754 ,  0.0993 ,0.17609999999999998    ,29->35
    35 ,    44 ,  0.0482 ,  0.223  ,0.1748                 ,44->35
    31 ,    35 ,  0.2242 ,  0.0496 ,0.1746                 ,31->35
    11 ,    33 ,  0.031  ,  0.2054 ,0.1744                 ,33->11
    14 ,    16 ,  0.0468 ,  0.2204 ,0.1736                 ,16->14
    17 ,    39 ,  0.1859 ,  0.0131 ,0.1728                 ,17->39
    14 ,    43 ,  0.039  ,  0.2117 ,0.1727                 ,43->14
    11 ,    45 ,  0.0857 ,  0.2579 ,0.17220000000000002    ,45->11
    11 ,    16 ,  0.0309 ,  0.203  ,0.1721                 ,16->11
     3 ,    35 ,  0.2453 ,  0.0749 ,0.1704                 ,3->35
     8 ,    11 ,  0.382  ,  0.2116 ,0.1704                 ,8->11
    10 ,    14 ,  0.7089 ,  0.879  ,0.17010000000000003    ,14->10
     4 ,    39 ,  0.2819 ,  0.1134 ,0.16849999999999998    ,4->39
     1 ,     3 ,  0.313  ,  0.1452 ,0.1678                 ,1->3
    10 ,    34 ,  0.0506 ,  0.2157 ,0.1651                 ,34->10
     4 ,    36 ,  0.2726 ,  0.1094 ,0.1632                 ,4->36
    17 ,    36 ,  0.1749 ,  0.012  ,0.1629                 ,17->36
     0 ,     2 ,  0.1911 ,  0.3534 ,0.1623                 ,2->0
     8 ,    17 ,  0.0502 ,  0.2105 ,0.1603                 ,17->8
     0 ,    22 ,  0.0252 ,  0.1843 ,0.1591                 ,22->0
    11 ,    28 ,  0.0803 ,  0.2393 ,0.15900000000000003    ,28->11
     6 ,    14 ,  0.5347 ,  0.3768 ,0.15789999999999993    ,6->14
    36 ,    44 ,  0.0561 ,  0.2138 ,0.1577                 ,44->36
     6 ,    18 ,  0.0385 ,  0.1954 ,0.15689999999999998    ,18->6
     1 ,    13 ,  0.2836 ,  0.1268 ,0.15680000000000002    ,1->13
     9 ,    22 ,  0.0251 ,  0.1819 ,0.1568                 ,22->9
    14 ,    28 ,  0.1104 ,  0.2667 ,0.1563                 ,28->14
    37 ,    43 ,  0.1735 ,  0.3292 ,0.1557                 ,43->37
    35 ,    45 ,  0.088  ,  0.243  ,0.155                  ,45->35
    29 ,    36 ,  0.2488 ,  0.0939 ,0.15489999999999998    ,29->36
    14 ,    35 ,  0.6736 ,  0.5191 ,0.15449999999999997    ,14->35
     5 ,    18 ,  0.0247 ,  0.179  ,0.1543                 ,18->5
     4 ,    10 ,  0.2194 ,  0.0655 ,0.1539                 ,4->10
    13 ,    36 ,  0.3756 ,  0.2218 ,0.1538                 ,13->36
    11 ,    34 ,  0.0438 ,  0.1971 ,0.1533                 ,34->11
    12 ,    39 ,  0.308  ,  0.1549 ,0.15309999999999999    ,12->39
     8 ,    22 ,  0.0304 ,  0.1829 ,0.1525                 ,22->8
    13 ,    32 ,  0.0691 ,  0.2213 ,0.1522                 ,32->13
     3 ,    14 ,  0.3037 ,  0.1518 ,0.15190000000000003    ,3->14
     3 ,    22 ,  0.0272 ,  0.1791 ,0.1519                 ,22->3
    10 ,    19 ,  0.0374 ,  0.1892 ,0.1518                 ,19->10
     5 ,    14 ,  0.4813 ,  0.3301 ,0.1512                 ,5->14
    37 ,    38 ,  0.8378 ,  0.6869 ,0.15090000000000003    ,37->38
    26 ,    42 ,  0.0473 ,  0.1981 ,0.1508                 ,42->26
    14 ,    45 ,  0.103  ,  0.2529 ,0.14990000000000003    ,45->14
     0 ,    35 ,  0.2525 ,  0.1032 ,0.1493                 ,0->35
    25 ,    35 ,  0.3058 ,  0.1577 ,0.1481                 ,25->35
    37 ,    48 ,  0.0963 ,  0.2444 ,0.1481                 ,48->37
     3 ,    11 ,  0.2402 ,  0.093  ,0.1472                 ,3->11
     9 ,    11 ,  0.4043 ,  0.2573 ,0.14700000000000002    ,9->11
    22 ,    36 ,  0.1636 ,  0.0167 ,0.1469                 ,22->36
     8 ,    14 ,  0.4231 ,  0.2763 ,0.14679999999999999    ,8->14
