epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current
21,0.381172,1,1.000000,0.745902,0.000000,0.491803,0.051242,0.202143,0.000000,1.000000,0.000000,0.049796,0.002552,0.017009,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003350,0.022180,6.621306,0.000000,0.370117,0.164140,0.104338,0.135132,1.804943,2.719314,0.000000,0.000000,0.000000,1.000000,500.000000,1.111577,1.112381,1.113972,0.000805,0.002395,1.000724,1.002155,0.022430,0.000000,0.170570,0.030482,0.140089,0.185555,0.029963,0.155592,0.140089,0.015503,1.000000,1,0.500000,0.020595,0.327200,0.135132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,0.381362,1,1.000000,0.745902,0.000000,0.491803,0.051562,0.203373,0.000000,1.000000,0.000000,0.049796,0.002568,0.017116,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003306,0.021859,6.611578,0.000000,0.355567,0.162003,0.104118,0.135636,1.810732,2.801012,0.000000,0.000000,0.000000,1.000000,500.000000,1.117723,1.121413,1.118731,0.003690,0.001009,1.003301,1.000902,0.022493,0.000000,0.169885,0.030416,0.139469,0.185427,0.030098,0.155329,0.139469,0.015860,1.000000,1,0.500000,0.020595,0.327200,0.135636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,0.379102,1,1.000000,0.745902,0.000000,0.491803,0.047755,0.188732,0.000000,1.000000,0.000000,0.049796,0.002378,0.015852,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003275,0.021542,6.577168,0.000000,0.337241,0.160486,0.101627,0.133144,1.787877,2.640822,0.000000,0.000000,0.000000,1.000000,500.000000,1.104352,1.104895,1.106369,0.000543,0.002017,1.000492,1.001827,0.022528,0.000000,0.168982,0.030446,0.138536,0.183113,0.029791,0.153322,0.138536,0.014786,1.000000,1,0.500000,0.020595,0.327200,0.133144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,0.376929,1,1.000000,0.745902,0.000000,0.491803,0.044113,0.174643,0.000000,1.000000,0.000000,0.049796,0.002197,0.014643,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003309,0.021844,6.602036,0.000000,0.337257,0.162127,0.102960,0.130070,1.759011,2.625504,0.000000,0.000000,0.000000,1.000000,500.000000,1.107431,1.108716,1.107247,0.001284,-0.000184,1.001160,0.999834,0.022485,0.000000,0.167063,0.030300,0.136763,0.181166,0.029474,0.151693,0.136763,0.014929,1.000000,1,0.500000,0.020595,0.327200,0.130070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,0.376114,1,1.000000,0.745902,0.000000,0.491803,0.042752,0.169361,0.000000,1.000000,0.000000,0.049796,0.002129,0.014192,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003348,0.022265,6.649490,0.000000,0.343126,0.164068,0.103171,0.126615,1.732249,2.620999,0.000000,0.000000,0.000000,1.000000,500.000000,1.108705,1.108394,1.110125,-0.000311,0.001420,0.999720,1.001281,0.022429,0.000000,0.165726,0.030156,0.135571,0.180111,0.029455,0.150656,0.135571,0.015085,1.000000,1,0.500000,0.020595,0.327200,0.126615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,0.375273,1,1.000000,0.745902,0.000000,0.491803,0.041351,0.163911,0.000000,1.000000,0.000000,0.049796,0.002059,0.013727,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003354,0.022420,6.684121,0.000000,0.335776,0.164357,0.103817,0.124913,1.720130,2.605028,0.000000,0.000000,0.000000,1.000000,500.000000,1.111701,1.109905,1.113965,-0.001796,0.002264,0.998384,1.002036,0.022425,0.000000,0.165090,0.030017,0.135073,0.179113,0.029260,0.149853,0.135073,0.014780,1.000000,1,0.500000,0.020595,0.327200,0.124913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,0.374523,1,1.000000,0.745902,0.000000,0.491803,0.040104,0.159052,0.000000,1.000000,0.000000,0.049796,0.001997,0.013312,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003239,0.021598,6.668884,0.000000,0.312541,0.158690,0.100737,0.125394,1.723212,2.658878,0.000000,0.000000,0.000000,1.000000,500.000000,1.104110,1.105075,1.104140,0.000964,0.000030,1.000873,1.000027,0.022579,0.000000,0.165526,0.030064,0.135462,0.179969,0.029153,0.150816,0.135462,0.015355,1.000000,1,0.500000,0.020595,0.327200,0.125394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,0.374233,1,1.000000,0.745902,0.000000,0.491803,0.039621,0.157170,0.000000,1.000000,0.000000,0.049796,0.001973,0.013152,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003231,0.021650,6.699995,0.000000,0.298168,0.158339,0.100131,0.123960,1.713519,2.656663,0.000000,0.000000,0.000000,1.000000,500.000000,1.099778,1.100733,1.102033,0.000955,0.002255,1.000869,1.002050,0.022587,0.000000,0.164736,0.029663,0.135073,0.179579,0.029041,0.150538,0.135073,0.015465,1.000000,1,0.500000,0.020595,0.327200,0.123960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,0.374330,1,1.000000,0.745902,0.000000,0.491803,0.039782,0.157797,0.000000,1.000000,0.000000,0.049796,0.001981,0.013206,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003199,0.021621,6.758322,0.000000,0.296912,0.156760,0.101100,0.122232,1.698586,2.592741,0.000000,0.000000,0.000000,1.000000,500.000000,1.108961,1.104620,1.106362,-0.004341,-0.002599,0.996086,0.997657,0.022639,0.000000,0.164540,0.029709,0.134831,0.178798,0.028942,0.149856,0.134831,0.015026,1.000000,1,0.500000,0.020595,0.327200,0.122232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.373212,1,1.000000,0.745902,0.000000,0.491803,0.037926,0.150550,0.000000,1.000000,0.000000,0.049796,0.001889,0.012590,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003178,0.021378,6.726305,0.000000,0.273498,0.155733,0.099433,0.121783,1.694166,2.647268,0.000000,0.000000,0.000000,1.000000,500.000000,1.096582,1.097709,1.100332,0.001127,0.003750,1.001028,1.003420,0.022663,0.000000,0.164915,0.029881,0.135034,0.178568,0.028921,0.149646,0.135034,0.014612,1.000000,1,0.500000,0.020595,0.327200,0.121783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
